03-22-2026 15:19:13 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.125C soc2@52.062C soc0@53.281C gpu@52.687C tj@53.281C soc1@53.125C VDD_IN 5231mW/5642mW VDD_CPU_GPU_CV 519mW/880mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:14 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.843C soc2@52.093C soc0@53.125C gpu@52.781C tj@53.125C soc1@53.125C VDD_IN 5200mW/5625mW VDD_CPU_GPU_CV 519mW/866mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:15 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C soc2@52.156C soc0@53.156C gpu@52.937C tj@53.343C soc1@53.343C VDD_IN 5200mW/5610mW VDD_CPU_GPU_CV 519mW/853mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:16 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.781C soc2@52.062C soc0@53C gpu@52.843C tj@53.125C soc1@53.125C VDD_IN 5191mW/5595mW VDD_CPU_GPU_CV 519mW/841mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:17 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,12%@729,0%@729,0%@729,7%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52C soc2@52C soc0@53.093C gpu@52.843C tj@53.125C soc1@53.125C VDD_IN 5311mW/5585mW VDD_CPU_GPU_CV 559mW/832mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:18 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@52.125C soc0@53.062C gpu@52.718C tj@53.062C soc1@52.968C VDD_IN 5231mW/5573mW VDD_CPU_GPU_CV 519mW/821mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:19 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.187C soc2@52.093C soc0@52.968C gpu@52.812C tj@53.187C soc1@53.187C VDD_IN 5191mW/5561mW VDD_CPU_GPU_CV 519mW/811mW VDD_SOC 1597mW/1594mW
03-22-2026 15:19:20 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.875C soc2@52.062C soc0@53.156C gpu@52.75C tj@53.156C soc1@53C VDD_IN 5200mW/5549mW VDD_CPU_GPU_CV 519mW/802mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:21 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.875C soc2@51.937C soc0@53.031C gpu@52.812C tj@53.218C soc1@53.031C VDD_IN 5191mW/5539mW VDD_CPU_GPU_CV 519mW/794mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:22 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.968C soc2@52.031C soc0@52.937C gpu@52.718C tj@53.156C soc1@53.031C VDD_IN 5191mW/5528mW VDD_CPU_GPU_CV 519mW/786mW VDD_SOC 1597mW/1595mW
